bin	gc_ratio_center	input_target_probability	normalized_target_probability	eligible_start_count	eligible_start_probability	calibrated_acceptance_probability	expected_fragment_probability	observed_fragment_count	observed_fragment_probability	mean_fragments_per_eligible_start	relative_bin_coverage	observed_minus_expected
0	0	4.20212666648e-07	4.20212666648e-07	398	9.93131720607e-06	0.023384	4.20212666648e-07	1	2.14087010956e-07	0.00251256281407	0.0215567589388	-2.06125655692e-07
1	0.010101010101	4.51240335795e-07	4.51240335795e-07	415	1.03555191973e-05	0.024082	4.51240335795e-07	4	8.56348043823e-07	0.00963855421687	0.0826948439289	4.05107708028e-07
2	0.020202020202	9.36809148917e-07	9.36809148917e-07	833	2.07858975695e-05	0.024908	9.36809148917e-07	1	2.14087010956e-07	0.00120048019208	0.0102996279203	-7.22722137961e-07
3	0.030303030303	6.26368469064e-07	6.26368469064e-07	536	1.33748392524e-05	0.025882	6.26368469064e-07	3	6.42261032867e-07	0.00559701492537	0.0480200936061	1.58925638032e-08
4	0.040404040404	1.17880571588e-06	1.17880571588e-06	966	2.41046543243e-05	0.0270270000001	1.17880571588e-06	2	4.28174021911e-07	0.00207039337474	0.0177631264133	-7.50631693968e-07
5	0.0505050505051	2.27357690821e-06	2.27357690821e-06	1775	4.42916784944e-05	0.028369	2.27357690821e-06	12	2.56904413147e-06	0.00676056338028	0.0580028623614	2.95467223259e-07
6	0.0606060606061	2.16938219729e-06	2.16938219729e-06	1605	4.00496585823e-05	0.029936	2.16938219729e-06	7	1.49860907669e-06	0.00436137071651	0.037418772837	-6.707731206e-07
7	0.0707070707071	2.35741421223e-06	2.35741421223e-06	1644	4.10228278562e-05	0.031759	2.35741421223e-06	9	1.9267830986e-06	0.00547445255474	0.0469685587096	-4.30631113628e-07
8	0.0808080808081	3.22101031053e-06	3.22101031053e-06	2106	5.25511407939e-05	0.0338740000001	3.22101031053e-06	16	3.42539217529e-06	0.00759734093067	0.0651820707132	2.04381864761e-07
9	0.0909090909091	4.18124343118e-06	4.18124343118e-06	2550	6.36302986821e-05	0.036316	4.18124343118e-06	20	4.28174021911e-06	0.0078431372549	0.0672909024128	1.00496787934e-07
10	0.10101010101	3.88146854364e-06	3.88146854364e-06	2197	5.48218690998e-05	0.039129	3.88146854364e-06	21	4.49582723007e-06	0.00955848884843	0.0820079158899	6.1435868643e-07
11	0.111111111111	3.98738585507e-06	3.98738585507e-06	2085	5.20271265695e-05	0.042356	3.98738585507e-06	20	4.28174021911e-06	0.00959232613909	0.0822982259725	2.94354364044e-07
12	0.121212121212	4.26181085545e-06	4.26181085545e-06	2050	5.11537695288e-05	0.046044	4.26181085545e-06	18	3.8535661972e-06	0.00878048780488	0.0753329858719	-4.08244658247e-07
13	0.131313131313	5.41312232826e-06	5.41312232826e-06	2386	5.95379971198e-05	0.050247	5.41312232826e-06	19	4.06765320816e-06	0.00796311818944	0.0683202896458	-1.3454691201e-06
14	0.141414141414	7.09438052768e-06	7.09438052768e-06	2856	7.1265934524e-05	0.055016	7.09438052768e-06	36	7.7071323944e-06	0.0126050420168	0.108146093163	6.12751866726e-07
15	0.151515151515	9.44846313875e-06	9.44846313875e-06	3464	8.64373939745e-05	0.060411	9.44846313875e-06	54	1.15606985916e-05	0.0155889145497	0.133746496279	2.11223545286e-06
16	0.161616161616	1.22004906713e-05	1.22004906713e-05	4064	0.000101409228958	0.0664900000002	1.22004906713e-05	50	1.07043505478e-05	0.0123031496063	0.10555598004	-1.49614012351e-06
17	0.171717171717	2.18012718444e-05	2.18012718444e-05	6586	0.000164340842008	0.0733150000001	2.18012718444e-05	99	2.11946140846e-05	0.0150318858184	0.128967418115	-6.06657759784e-07
18	0.181818181818	2.93713593062e-05	2.93713593062e-05	8036	0.000200522776553	0.08095	2.93713593062e-05	121	2.59045283256e-05	0.0150572424092	0.129184967269	-3.46683098056e-06
19	0.191919191919	5.64802377855e-05	5.64802377855e-05	13983	0.000348918614303	0.0894600000001	5.64802377855e-05	263	5.63048838813e-05	0.0188085532432	0.161369676404	-1.75353904146e-07
20	0.20202020202	0.000115217485001	0.000115217485001	25800	0.000643788904313	0.0989079999999	0.000115217485001	572	0.000122457770267	0.0221705426357	0.190214167169	7.24028526567e-06
21	0.212121212121	0.00023399817767	0.00023399817767	47390	0.00118252543316	0.10936	0.00023399817767	1035	0.000221580056339	0.0218400506436	0.18737868136	-1.24181213308e-05
22	0.222222222222	0.000480130169559	0.000480130169559	87972	0.00219517044536	0.120878	0.000480130169559	2238	0.000479126730519	0.0254399126995	0.218264022064	-1.0034390401e-06
23	0.232323232323	0.000917627737005	0.000917627737005	152210	0.00379810500486	0.133523	0.000917627737005	4271	0.000914365623792	0.0280599172196	0.240742586795	-3.26211321313e-06
24	0.242424242424	0.00162425404161	0.00162425404161	244137	0.00609196479583	0.147351	0.00162425404161	7657	0.00163926424289	0.0313635376858	0.269086296101	1.50102012779e-05
25	0.252525252525	0.00261838282976	0.00261838282976	357061	0.00890976395205	0.162414	0.00261838282976	12343	0.00264247597623	0.0345683230596	0.296582040831	2.40931464664e-05
26	0.262626262626	0.0040706514366	0.0040706514366	504349	0.0125850500039	0.178758	0.0040706514366	18835	0.00403232885135	0.0373451716966	0.320406263788	-3.83225852491e-05
27	0.272727272727	0.0059112072651	0.0059112072651	666532	0.0166320118593	0.196421	0.0059112072651	27748	0.00594048638	0.0416304093427	0.357171846092	2.92791148993e-05
28	0.282828282828	0.00794737609905	0.00794737609905	817038	0.0203875968528	0.215434	0.00794737609905	37126	0.00794819436874	0.0454397469885	0.389854401484	8.18269691977e-07
29	0.292929292929	0.010463804685	0.010463804685	982772	0.0245231670182	0.235814	0.010463804685	49048	0.0105005397134	0.0499078117814	0.428188565757	3.6735028356e-05
30	0.30303030303	0.0132422782764	0.0132422782764	1138676	0.0284134486205	0.25757	0.0132422782764	61896	0.0132511296301	0.054357868261	0.466368226086	8.8513537151e-06
31	0.313131313131	0.0160092808712	0.0160092808712	1263180	0.0315202041919	0.280698	0.0160092808712	74965	0.0160490327763	0.0593462531072	0.509166523116	3.97519050954e-05
32	0.323232323232	0.0189838013044	0.0189838013044	1377730	0.0343785770209	0.305177	0.0189838013044	88579	0.0189636133434	0.064293439208	0.551611351799	-2.01879609535e-05
33	0.333333333333	0.0219675552924	0.0219675552924	1470011	0.0366812701945	0.330974	0.0219675552924	102758	0.0219991530718	0.0699028782778	0.599738039472	3.15977793876e-05
34	0.343434343434	0.0256393056688	0.0256393056688	1586020	0.0395760495356	0.358039000001	0.0256393056688	119710	0.0256283560815	0.0754782411319	0.647572367182	-1.0949587291e-05
35	0.353535353535	0.0304553323987	0.0304553323987	1746091	0.0435703105318	0.386304	0.0304553323987	141986	0.0303973583376	0.0813164949593	0.697662191674	-5.79740611415e-05
36	0.363636363636	0.0356781192525	0.0356781192525	1900953	0.0474345910473	0.415684	0.0356781192525	166464	0.0356377801917	0.0875687089581	0.751303624736	-4.03390607674e-05
37	0.373737373737	0.0396336043841	0.0396336043841	1967825	0.0491032519624	0.446077	0.0396336043841	185332	0.0396771739144	0.0941811390749	0.808035564423	4.35695303451e-05
38	0.383838383838	0.045504729421	0.045504729421	2111263	0.0526824687398	0.477361000001	0.045504729421	212623	0.0455198225304	0.100708912154	0.864041181427	1.50931094376e-05
39	0.393939393939	0.0485406474785	0.0485406474785	2110475	0.0526628057299	0.509399	0.0485406474785	226436	0.0484770064128	0.107291486514	0.920516970961	-6.36410657311e-05
40	0.40404040404	0.0444529502439	0.0444529502439	1816377	0.045324161188	0.542035	0.0444529502439	207390	0.0443995052021	0.114177838632	0.979599049124	-5.34450417937e-05
41	0.414141414141	0.0392927781089	0.0392927781089	1513228	0.0377596665154	0.575097	0.0392927781089	183976	0.0393868719276	0.121578506345	1.04309374426	9.40938186891e-05
42	0.424242424242	0.0380470738642	0.0380470738642	1385057	0.0345614080791	0.608396	0.0380470738642	177167	0.03792915347	0.127913147257	1.09744236644	-0.000117920394208
43	0.434343434343	0.0384844328578	0.0384844328578	1328202	0.0331427019491	0.641732000001	0.0384844328578	179840	0.0385014080503	0.135401091099	1.16168585499	1.69751924763e-05
44	0.444444444444	0.038861241127	0.038861241127	1275310	0.0318228847891	0.674891	0.038861241127	181885	0.0389392159877	0.142620225671	1.22362307018	7.79748606807e-05
45	0.454545454545	0.0391692014797	0.0391692014797	1225911	0.0305902286618	0.70765	0.0391692014797	183022	0.0391826329191	0.149294687787	1.280887219	1.34314394374e-05
46	0.464646464646	0.0387045109972	0.0387045109972	1158760	0.0289146058435	0.739777000001	0.0387045109972	180536	0.0386504126099	0.155801028686	1.33670895668	-5.40983872985e-05
47	0.474747474747	0.0377104365261	0.0377104365261	1083226	0.0270298015373	0.771037000001	0.0377104365261	176707	0.0378306734449	0.163130316296	1.39959123979	0.000120236918852
48	0.484848484848	0.0364964377117	0.0364964377117	1008899	0.0251751155726	0.801190000001	0.0364964377117	170805	0.0365671319063	0.169298413419	1.45251098454	7.06941945914e-05
49	0.494949494949	0.0351299977959	0.0351299977959	937418	0.0233914460118	0.829999	0.0351299977959	163703	0.0350466859545	0.174631807795	1.49826932191	-8.33118414161e-05
50	0.505050505051	0.0436743599624	0.0436743599624	1128397	0.0281569561341	0.85723	0.0436743599624	204079	0.0436906631088	0.180857446448	1.5516827494	1.63031464319e-05
51	0.515151515152	0.0300838415978	0.0300838415978	754875	0.0188364398893	0.882655	0.0300838415978	140687	0.0301192593103	0.186371253519	1.59898895372	3.5417712527e-05
52	0.525252525253	0.027266749246	0.027266749246	666516	0.0166316126104	0.906057000001	0.027266749246	127277	0.0272483524934	0.190958656656	1.63834699207	-1.83967525891e-05
53	0.535353535354	0.023988070588	0.023988070588	572979	0.0142975783955	0.927234000002	0.023988070588	112026	0.0239833114893	0.195515018875	1.67743871206	-4.75909867477e-06
54	0.545454545455	0.0207877999535	0.0207877999535	486690	0.0121444039473	0.945994999999	0.0207877999535	97338	0.0208388014724	0.2	1.71591801153	5.10015189076e-05
55	0.555555555556	0.0174454305155	0.0174454305155	401570	0.0100203996242	0.962172999998	0.0174454305155	81541	0.0174568689603	0.203055507134	1.74213301016	1.14384448402e-05
56	0.565656565657	0.015027992629	0.015027992629	341156	0.00851288555969	0.975619999999	0.015027992629	70549	0.0151036245359	0.206793959362	1.77420739772	7.56319069149e-05
57	0.575757575758	0.0132249219058	0.0132249219058	297000	0.00741105831709	0.986209999998	0.0132249219058	61537	0.0131742723932	0.207195286195	1.77765061743	-5.0649512618e-05
58	0.585858585859	0.0120287929527	0.0120287929527	268062	0.00668896671581	0.993846999999	0.0120287929527	55869	0.0119608272151	0.208418201759	1.78814273164	-6.7965737615e-05
59	0.59595959596	0.0107759792154	0.0107759792154	239034	0.00596462933929	0.998458000003	0.0107759792154	49833	0.010668598017	0.208476618389	1.78864392238	-0.000107381198444
60	0.606060606061	0.00984991394415	0.00984991394415	218155	0.0054436344349	1	0.00984991394415	46101	0.00986962529207	0.211322225023	1.81305806077	1.97113479195e-05
61	0.616161616162	0.00934228589375	0.00934228589375	207027	0.00516595680206	0.999445	0.00934228589375	43680	0.00935132063854	0.210986972714	1.81018173338	9.03474479575e-06
62	0.626262626263	0.00883392101073	0.00883392101073	196088	0.00489299529725	0.997781	0.00883392101073	41381	0.00885913460036	0.211032801599	1.81057492643	2.52135896286e-05
63	0.636363636364	0.00785990711575	0.00785990711575	174953	0.00436561240993	0.995013000001	0.00785990711575	36513	0.00781695903103	0.208701765617	1.7905755933	-4.29480847239e-05
64	0.646464646465	0.00687857294794	0.00687857294794	153706	0.00383543478009	0.991152	0.00687857294794	32053	0.00686213096216	0.208534474907	1.78914030758	-1.64419857764e-05
65	0.656565656566	0.00588615892865	0.00588615892865	132189	0.00329851982451	0.98621	0.00588615892865	27414	0.00586898131834	0.207384880739	1.77927726089	-1.717761031e-05
66	0.666666666667	0.00456261008641	0.00456261008641	103093	0.00257248564001	0.980205	0.00456261008641	21179	0.00453414880503	0.205435868585	1.76255553559	-2.84612813789e-05
67	0.676767676768	0.00343606673435	0.00343606673435	78201	0.00195135411264	0.973155000002	0.00343606673435	16204	0.00346906592553	0.207209626475	1.77777365115	3.29991911764e-05
68	0.686868686869	0.00252945858557	0.00252945858557	58049	0.00144850008165	0.965084999999	0.00252945858557	11789	0.00252387177216	0.20308704715	1.74240361056	-5.58681341304e-06
69	0.69696969697	0.00186500161687	0.00186500161687	43206	0.0010781218372	0.956022000003	0.00186500161687	8536	0.00182744672552	0.197565152988	1.69502802231	-3.7554891352e-05
70	0.707070707071	0.00135326360913	0.00135326360913	31683	0.000790587746332	0.945995	0.00135326360913	6421	0.00137465269735	0.202663889152	1.73877308841	2.13890882167e-05
71	0.717171717172	0.00108567526414	0.00108567526414	25716	0.000641692847415	0.935038000001	0.00108567526414	5072	0.00108584931957	0.197231295691	1.69216366357	1.740554274e-07
72	0.727272727273	0.000860332180275	0.000860332180275	20640	0.000515031123451	0.923186000001	0.000860332180275	4029	0.00086255656714	0.195203488372	1.67476590805	2.22438686559e-06
73	0.737373737374	0.000708389198189	0.000708389198189	17232	0.000429991100741	0.910477	0.000708389198189	3393	0.000726397228173	0.196901114206	1.68933084178	1.80080299837e-05
74	0.747474747475	0.000616869643067	0.000616869643067	15232	0.000380084984128	0.896952	0.000616869643067	2885	0.000617641026607	0.189403886555	1.62500770196	7.71383540246e-07
75	0.757575757576	0.000582368176544	0.000582368176544	14613	0.000364639041036	0.882655	0.000582368176544	2689	0.00057567997246	0.184014233901	1.57876669164	-6.68820408407e-06
76	0.767676767677	0.000584676534839	0.000584676534839	14925	0.000372424395228	0.867629	0.000584676534839	2755	0.000589809715183	0.18458961474	1.58370322337	5.133180344e-06
77	0.777777777778	0.0005193169838	0.0005193169838	13501	0.000336891240199	0.851921	0.0005193169838	2439	0.000522158219721	0.180653284942	1.54993112736	2.841235921e-06
78	0.787878787879	0.000405228048575	0.000405228048575	10741	0.000268020799272	0.835579	0.000405228048575	1884	0.000403339928641	0.175402662694	1.50488294093	-1.88811993443e-06
79	0.79797979798	0.000316181050498	0.000316181050498	8554	0.000213448460756	0.818652000002	0.000316181050498	1432	0.000306572599689	0.167407061024	1.43628395634	-9.60845080941e-06
80	0.808080808081	0.000275649847371	0.000275649847371	7620	0.000190142304297	0.80119	0.000275649847371	1272	0.000272318677936	0.166929133858	1.43218353718	-3.33116943533e-06
81	0.818181818182	0.00021978875787	0.00021978875787	6215	0.000155083257376	0.783244000001	0.00021978875787	1054	0.000225647709547	0.169589702333	1.45501012401	5.85895167733e-06
82	0.828282828283	0.000177127225532	0.000177127225532	5129	0.000127984236055	0.764865999999	0.000177127225532	836	0.000178976741159	0.162994735816	1.39842801485	1.84951562698e-06
83	0.838383838384	0.000146270793227	0.000146270793227	4342	0.000108346179168	0.746106000002	0.000146270793227	686	0.000146863689516	0.15799170889	1.35550409478	5.92896288622e-07
84	0.848484848485	6.67671409686e-05	6.67671409686e-05	2034	5.07545205959e-05	0.727017000001	6.67671409686e-05	326	6.97923655716e-05	0.160275319567	1.37509653824	3.02522460296e-06
85	0.858585858586	5.62339310148e-05	5.62339310148e-05	1760	4.39173826198e-05	0.70765	5.62339310148e-05	264	5.65189708923e-05	0.15	1.28693850864	2.85039877509e-07
86	0.868686868687	4.83703983374e-05	4.83703983374e-05	1557	3.88519117836e-05	0.688056	4.83703983374e-05	210	4.49582723007e-05	0.134874759152	1.15717014265	-3.4121260367e-06
87	0.878787878788	4.82175459862e-05	4.82175459862e-05	1598	3.98749871741e-05	0.668284	4.82175459862e-05	221	4.73132294212e-05	0.13829787234	1.18653905052	-9.04316564986e-07
